name,Lat,Lon,state
halfway_pine_3,45.01512,-117.09313,OR
cracker_jack_1,44.717,-116.776,OR
cracker_jack_2,44.729,-116.796,OR
mt_jumbo,46.88557,-113.95174,MT
pattee_canyon,46.81421,-113.94887,MT
frenchtown_face,47.0664,-114.28488,MT
spanish_peaks_trail,46.8223,-113.9881,MT
emigrant_springs,45.541714,-118.465583,OR
