Region,PlotID,year,mean,Field1,Field2,Field3,Field4
1,8,1993,0.0,,,,
1,8,1994,0.0,,,,
1,8,1995,0.0,,,,
1,8,1996,0.0,,,,
1,8,1997,0.0,,,,
1,8,1998,2.0,,,,
1,8,1999,2.2,,,,
1,8,2000,5.2,,,,
1,9,1981,8.6,,,,
1,9,1982,0.2,,,,
1,9,1983,0.0,,,,
1,9,1984,0.0,,,,
1,9,1985,0.0,,,,
1,9,1986,0.0,,,,
1,9,1987,0.0,,,,
1,9,1988,0.0,,,,
1,9,1989,0.0,,,,
1,9,1990,0.0,,,,
1,9,1991,0.2,,,,
1,9,1992,0.2,,,,
1,9,1993,0.2,,,,
1,9,1994,0.0,,,,
1,9,1995,0.0,,,,
1,9,1996,0.0,,,,
1,9,1997,0.0,,,,
1,9,1999,0.0,,,,
1,9,2010,0.4,,,,
1,9,2011,13.2,,,,
1,9,2012,0.0,,,,
1,9,2013,0.0,,,,
1,9,2014,0.0,,,,
1,9,2015,0.0,,,,
1,9,2016,0.0,,,,
1,9,2017,0.0,,,,
1,10,1981,8.6,,,,
1,10,1982,0.0,,,,
1,10,1983,0.0,,,,
1,10,1984,0.0,,,,
1,10,1985,1.0,,,,
1,10,1986,16.4,,,,
1,10,1987,0.0,,,,
1,10,1988,0.0,,,,
1,10,1989,0.0,,,,
1,10,1990,0.2,,,,
1,10,1991,0.0,,,,
1,10,1992,0.0,,,,
1,10,1993,0.2,,,,
1,10,1994,0.0,,,,
1,10,1995,0.0,,,,
1,10,1996,0.0,,,,
1,10,1997,0.0,,,,
1,10,1998,0.0,,,,
1,10,1999,0.6,,,,
1,10,2000,0.0,,,,
1,11,1982,16.2,,,,
1,11,1985,0.0,,,,
1,11,1986,0.2,,,,
1,11,1987,0.0,,,,
1,11,1988,0.0,,,,
1,11,1989,0.0,,,,
1,11,1990,0.4,,,,
1,11,1991,0.0,,,,
1,11,1992,0.0,,,,
1,11,1993,0.0,,,,
1,11,1994,0.0,,,,
1,11,1995,0.0,,,,
1,11,1996,0.0,,,,
1,11,1997,0.0,,,,
1,11,1998,0.8,,,,
1,11,1999,1.4000000000000001,,,,
1,11,2000,0.0,,,,
1,11,2010,0.8,,,,
1,11,2011,2.4,,,,
1,11,2012,0.0,,,,
1,11,2013,0.0,,,,
1,11,2014,0.0,,,,
1,11,2015,0.0,,,,
1,11,2016,0.0,,,,
1,11,2017,1.6,,,,
1,12,1981,4.2,,,,
1,12,1982,0.6,,,,
1,12,1983,0.0,,,,
1,12,1984,0.0,,,,
1,12,1985,0.0,,,,
1,12,1986,0.6,,,,
1,12,1987,0.0,,,,
1,12,1988,0.0,,,,
1,12,1989,0.4,,,,
1,12,1990,0.0,,,,
1,12,1991,2.2,,,,
1,12,1992,0.2,,,,
1,12,1993,0.0,,,,
1,12,1994,0.0,,,,
1,12,1995,0.0,,,,
1,12,1996,0.2,,,,
1,12,1997,0.0,,,,
1,12,1998,0.4,,,,
1,12,1999,0.4,,,,
1,12,2000,1.0,,,,
1,13,1981,0.4,,,,
1,13,1982,0.0,,,,
1,13,1983,0.0,,,,
1,13,1984,0.4,,,,
1,13,1985,0.6,,,,
1,13,1986,0.2,,,,
1,13,1987,0.0,,,,
1,13,1988,0.0,,,,
1,13,1989,0.0,,,,
1,13,1990,0.2,,,,
1,13,1991,0.0,,,,
1,13,1992,0.4,,,,
1,13,1993,0.0,,,,
1,13,1994,0.0,,,,
1,13,1995,0.0,,,,
1,13,1996,0.0,,,,
1,13,1997,0.0,,,,
1,13,1998,0.0,,,,
1,13,1999,0.2,,,,
1,13,2000,0.0,,,,
1,14,1981,2.2,,,,
1,14,1982,7.6000000000000005,,,,
1,14,1985,2.4,,,,
1,14,1986,4.0,,,,
1,14,1987,0.0,,,,
1,14,1988,0.0,,,,
1,14,1989,0.0,,,,
1,14,1990,0.2,,,,
1,14,1991,0.0,,,,
1,14,1992,0.6,,,,
1,14,1993,0.0,,,,
1,14,1994,0.0,,,,
1,14,1995,0.0,,,,
1,14,1996,0.0,,,,
1,14,1997,0.0,,,,
1,14,1998,2.2,,,,
1,14,1999,2.2,,,,
1,14,2000,0.2,,,,
1,14,2010,0.2,,,,
1,14,2011,0.6,,,,
1,14,2012,0.0,,,,
1,14,2013,0.0,,,,
1,14,2014,0.0,,,,
1,14,2015,0.0,,,,
1,14,2016,0.0,,,,
1,14,2017,0.0,,,,
1,15,1980,0.2,,,,
1,15,1981,0.4,,,,
1,15,1982,0.0,,,,
1,15,1983,0.0,,,,
1,15,1984,0.2,,,,
1,15,1985,0.0,,,,
1,15,1986,0.0,,,,
1,15,1987,0.0,,,,
1,15,1988,0.4,,,,
1,15,1989,0.2,,,,
1,15,1990,0.2,,,,
1,15,1991,0.0,,,,
1,15,1992,0.0,,,,
1,15,1993,0.2,,,,
1,15,1994,0.0,,,,
1,15,1995,0.0,,,,
1,15,1996,0.0,,,,
1,15,1997,0.0,,,,
1,15,1998,3.2,,,,
1,15,1999,4.6000000000000005,,,,
1,15,2000,0.4,,,,
1,15,2010,0.2,,,,
1,15,2011,2.2,,,,
1,15,2012,0.0,,,,
1,15,2013,0.0,,,,
1,15,2014,0.0,,,,
1,15,2015,0.0,,,,
1,15,2016,0.0,,,,
1,15,2017,0.0,,,,
1,16,1980,0.0,,,,
1,16,1981,4.2,,,,
1,16,1982,0.0,,,,
1,16,1983,0.0,,,,
1,16,1984,0.0,,,,
1,16,1985,0.6,,,,
1,16,1986,1.8,,,,
1,16,1987,0.4,,,,
1,16,1988,0.0,,,,
1,16,1989,0.0,,,,
1,16,1990,0.2,,,,
1,16,1991,0.0,,,,
1,16,1992,0.8,,,,
1,16,1993,0.0,,,,
1,16,1994,0.0,,,,
1,16,1995,0.0,,,,
1,16,1996,0.0,,,,
1,16,1997,0.0,,,,
1,16,1998,0.0,,,,
1,16,1999,0.4,,,,
1,16,2000,0.0,,,,
1,16,2010,0.6,,,,
1,16,2011,3.4,,,,
1,16,2012,0.0,,,,
1,16,2013,0.0,,,,
1,16,2014,0.0,,,,
1,16,2015,0.0,,,,
1,16,2016,0.0,,,,
1,16,2017,0.0,,,,
1,17,1982,22.0,,,,
1,17,1983,0.2,,,,
1,17,1984,0.0,,,,
1,17,1985,1.2,,,,
1,17,1986,4.6000000000000005,,,,
1,17,1987,0.0,,,,
1,17,1988,0.0,,,,
1,17,1989,0.0,,,,
1,17,1990,0.2,,,,
1,17,1991,0.8,,,,
1,17,1992,0.0,,,,
1,17,1993,0.2,,,,
1,17,1994,0.0,,,,
1,17,1995,0.0,,,,
1,17,1996,0.0,,,,
1,17,1997,0.0,,,,
1,17,1998,0.4,,,,
1,17,1999,3.2,,,,
1,17,2000,0.0,,,,
1,17,2010,1.2,,,,
1,17,2011,10.4,,,,
1,17,2012,0.0,,,,
1,17,2013,0.0,,,,
1,17,2014,0.0,,,,
1,17,2015,0.0,,,,
1,17,2016,0.0,,,,
1,17,2017,0.4,,,,
1,18,1980,0.4,,,,
1,18,1981,3.8000000000000003,,,,
1,18,1982,2.0,,,,
1,18,1983,0.0,,,,
1,18,1984,0.0,,,,
1,18,1985,0.0,,,,
1,18,1986,0.4,,,,
1,18,1987,0.0,,,,
1,18,1988,0.4,,,,
1,18,1989,0.0,,,,
1,18,1990,0.8,,,,
1,18,1991,0.0,,,,
1,18,1992,0.2,,,,
1,18,1993,0.0,,,,
1,18,1994,0.0,,,,
1,18,1995,0.0,,,,
1,18,1996,0.0,,,,
1,18,1997,0.0,,,,
1,18,1998,0.2,,,,
1,18,1999,2.5,,,,
1,18,2000,1.6,,,,
1,18,2010,0.2,,,,
1,18,2011,4.6,,,,
1,18,2012,0.0,,,,
1,18,2013,0.0,,,,
1,18,2014,0.0,,,,
1,18,2015,0.0,,,,
1,18,2016,0.0,,,,
1,18,2017,0.0,,,,
1,19,1981,1.8,,,,
1,19,1982,0.0,,,,
1,19,1983,0.0,,,,
1,19,1984,0.2,,,,
1,19,1985,0.4,,,,
1,19,1986,1.6,,,,
1,19,1987,0.0,,,,
1,19,1988,0.0,,,,
1,19,1989,0.0,,,,
1,19,1990,0.2,,,,
1,19,1991,0.0,,,,
1,19,1992,0.0,,,,
1,19,1993,0.0,,,,
1,19,1994,0.0,,,,
1,19,1995,0.0,,,,
1,19,1996,0.0,,,,
1,19,1997,0.0,,,,
1,19,1998,0.8,,,,
1,19,1999,0.2,,,,
1,19,2000,0.0,,,,
1,19,2010,0.8,,,,
1,19,2011,1.0,,,,
1,19,2012,0.0,,,,
1,19,2013,0.0,,,,
1,19,2016,0.0,,,,
1,19,2017,0.0,,,,
1,20,1981,9.6,,,,
1,20,1982,3.6,,,,
1,20,1983,0.2,,,,
1,20,1984,0.0,,,,
1,20,1985,0.2,,,,
1,20,1986,3.0,,,,
1,20,1987,0.0,,,,
1,20,1988,0.0,,,,
1,20,1989,0.0,,,,
1,20,1990,0.2,,,,
1,20,1991,0.0,,,,
1,20,1992,1.4000000000000001,,,,
1,20,1993,0.0,,,,
1,20,1994,0.0,,,,
1,20,1995,0.0,,,,
1,20,1996,0.0,,,,
1,20,1997,0.0,,,,
1,20,1998,0.0,,,,
1,20,1999,0.0,,,,
1,20,2000,0.0,,,,
1,20,2011,14.0,,,,
1,20,2012,0.2,,,,
1,20,2013,0.0,,,,
1,20,2014,0.0,,,,
1,20,2015,0.0,,,,
1,20,2016,0.0,,,,
1,20,2017,0.2,,,,
1,21,1980,0.0,,,,
1,21,1981,0.4,,,,
1,21,1982,0.0,,,,
1,21,1983,0.2,,,,
1,21,1984,0.0,,,,
1,21,1985,0.0,,,,
1,21,1986,0.0,,,,
1,21,1987,0.0,,,,
1,21,1988,0.0,,,,
1,21,1989,0.0,,,,
1,21,1990,0.2,,,,
1,21,1991,0.0,,,,
1,21,1992,0.2,,,,
1,21,1993,0.0,,,,
1,21,1994,0.0,,,,
1,21,1995,0.0,,,,
1,21,1996,0.0,,,,
1,21,1997,0.0,,,,
1,21,1998,1.4000000000000001,,,,
1,21,1999,1.8,,,,
1,21,2000,3.0,,,,
1,21,2010,0.4,,,,
1,21,2011,18.6,,,,
1,21,2012,0.0,,,,
1,21,2013,0.0,,,,
1,21,2014,0.0,,,,
1,21,2015,0.0,,,,
1,21,2016,0.0,,,,
1,21,2017,0.0,,,,
1,22,1991,0.0,,,,
1,22,1992,2.4,,,,
1,22,1993,0.2,,,,
1,22,1994,0.0,,,,
1,22,1995,0.0,,,,
1,22,1996,0.0,,,,
1,22,1997,0.0,,,,
1,22,1998,0.8,,,,
1,22,2000,0.0,,,,
1,22,2010,0.0,,,,
1,22,2011,0.8,,,,
1,22,2012,0.0,,,,
1,22,2013,0.0,,,,
1,22,2016,0.0,,,,
1,22,2017,0.0,,,,
1,23,1981,2.0,,,,
1,23,1982,14.0,,,,
1,23,1983,0.0,,,,
1,23,1984,0.0,,,,
1,23,1985,0.6,,,,
1,23,1986,6.0,,,,
1,23,1987,0.6,,,,
1,23,1988,0.0,,,,
1,23,1989,0.0,,,,
1,23,1990,0.4,,,,
1,23,1991,1.8,,,,
1,23,1992,0.2,,,,
1,23,1993,0.0,,,,
1,23,1994,0.0,,,,
1,23,1995,0.0,,,,
