"Latitude","Longitude"
45.13606,-121.43096
45.23735,-121.38946
45.30952,-121.28699
46.08233,-117.17752
46.08233,-117.17752
46.09696,-117.15605
46.08245,-117.19881
46.30176,-117.55975
46.30145,-117.6649
46.24366,-117.68455
46.2294,-117.727
46.2443,-117.64398
46.27253,-117.64376
46.14214,-117.81418
46.17115,-117.81387
46.18554,-117.81379
45.98426,-118.04565
45.98415,-118.06782
47.84217,-120.20237
47.91868,-120.21174
47.86564,-120.19179
47.54197,-120.57544
48.40357,-117.80002
48.38556,-117.63167
48.7117,-118.98239
48.671,-118.87411
48.83623,-118.18719
48.40868,-118.09061
48.30299,-118.04736
48.51784,-117.71048
48.54893,-117.59287
48.67797,-117.48713
48.54749,-117.83562
48.29657,-117.83271
48.26836,-117.64856
48.89851,-118.56627
48.89688,-118.53091
48.91041,-118.85988
48.96156,-118.76587
48.84484,-119.71449
48.97741,-118.51931
48.97349,-118.59017
48.79122,-118.58218
48.73023,-118.65415
48.49183,-120.10617
48.25548,-120.18456
48.18888,-120.15439
48.56744,-120.37396
48.59241,-120.43705
48.65235,-120.50683
48.51223,-120.29262
48.39308,-119.80763
48.35707,-119.82596
48.41994,-119.71114
48.61415,-119.71036
48.57032,-119.69953
48.44592,-119.63581
48.87853,-119.60827
48.78622,-119.66584
48.79099,-119.73786
48.91673,-119.28408
48.88544,-119.2316
48.82814,-119.22594
48.22546,-120.04191
48.5867,-118.16177
48.95222,-118.2058
48.71043,-118.12912
48.45534,-118.03695
48.95714,-119.21746
48.84203,-119.12035
48.86629,-119.76989
48.79483,-119.64609
48.7502,-119.676
48.69061,-119.72309
48.16321,-119.83187
48.21332,-119.92746
46.22835,-117.57581
48.18422,-117.7721
48.06026,-117.72433
47.96284,-117.50057
47.79015,-117.58021
47.81016,-117.63665
47.77999,-117.55038
47.66417,-117.14301
47.73565,-117.11445
47.73668,-117.29339
47.70754,-117.10142
46.92001,-117.2238
46.8692,-117.15539
48.01829,-119.94411
45.03111,-119.5875
45.08222,-119.38528
44.96884,-117.29264
44.98637,-117.09343
45.01516,-117.13402
44.95719,-117.23573
44.95728,-117.25603
46.15041,-121.24461
46.20641,-121.10508
46.04167,-121.25001
46.22303,-120.94653
43.98209,-119.16673
43.9775,-119.48722
43.79249,-118.70627
44.05936,-118.77009
44.10619,-118.78092
44.06978,-118.62167
47.97083,-120.04
42.52315,-121.67274
45.98997,-120.58052
46.07033,-120.78837
45.92735,-120.99901
45.95734,-120.92692
46.00032,-120.94758
45.95211,-120.91059
45.93237,-120.87359
45.9129,-120.81956
45.92615,-120.72924
45.92502,-120.70138
45.99131,-120.66882
47.1393,-120.50777
42.63,-121.55778
45.049,-118.1118
44.8833,-118.3787
44.7501,-118.2914
44.7493,-118.1077
44.2358,-118.2854
44.48282,-118.4629
46.50651,-121.02896
46.4848,-120.9866
48.93976,-117.58931
48.82912,-117.65625
48.61721,-117.36549
44.26519,-119.15998
44.14776,-119.2815
44.35556,-119.275
44.32881,-119.27839
42.74333,-121.79667
44.37307,-119.72598
44.375,-119.85
48.36617,-117.14234
47.90814,-118.88022
47.87352,-118.71733
47.87125,-118.71924
47.9101,-118.7499
48.87811,-118.47302
48.86406,-118.66984
48.70449,-118.75903
48.59012,-118.77023
48.41624,-118.00981
48.34368,-118.03079
48.27351,-117.94291
48.21598,-118.02895
48.09909,-118.09712
48.08429,-118.02886
48.15784,-117.89844
47.88663,-120.40936
47.81204,-120.4546
45.08123,-118.70203
45.24669,-118.53628
45.24667,-118.55674
45.1169,-118.53704
44.42611,-119.76572
47.30498,-121.31915
47.19726,-121.01665
47.16068,-120.84993
47.18353,-120.79391
47.25734,-120.88927
47.30323,-120.85426
47.33654,-120.85922
47.31448,-120.37125
47.25165,-120.19738
47.83629,-117.23732
47.88867,-117.30234
48.07832,-117.33067
48.08167,-117.22343
48.10853,-117.12011
48.18861,-117.11229
48.20614,-117.27869
47.82355,-117.17474
47.88677,-117.13123
47.23099,-121.22252
47.11392,-120.88416
46.9844,-120.83629
47.15108,-120.46558
47.1897,-120.44426
46.93186,-120.83698
46.90503,-120.82364
46.85393,-120.82375
46.79363,-120.92316
46.76947,-121.01286
46.86282,-120.98019
46.89325,-120.96865
46.87452,-120.94991
46.73157,-120.89279
46.69522,-120.91868
45.97896,-121.12377
45.96354,-121.37433
46.04475,-121.39053
46.00671,-121.10112
46.03551,-120.9974
46.02099,-120.99715
45.99295,-121.18799
45.97888,-121.14621
45.94928,-121.12493
46.00762,-121.43755
46.00787,-121.37519
46.02278,-121.22941
46.02275,-121.20882
46.02275,-121.20882
46.00771,-121.14484
46.00706,-121.12238
46.00775,-121.18806
46.00775,-121.18806
45.99279,-121.06112
45.99313,-121.43775
45.96434,-121.4167
46.02252,-121.37555
46.02252,-121.37555
46.02252,-121.37555
45.9791,-121.22951
45.96454,-121.20871
48.18384,-117.04653
48.21122,-117.05112
48.51038,-117.27033
44.96109,-121.5524
44.96109,-121.5524
43.73825,-121.81515
43.81288,-121.67705
48.98163,-121.07529
44.59993,-119.41995
42.36057,-120.52243
42.40396,-120.46411
42.43349,-120.46425
42.28706,-120.15077
42.25824,-120.18882
47.90556,-118.08083
47.95389,-118.08833
47.99361,-117.91056
47.90389,-117.92889
48.35321,-118.11275
48.27043,-120.20759
48.02614,-117.84246
48.0839,-118.03663
46.09335,-117.87679
46.17117,-117.93963
46.25748,-117.40901
46.31617,-117.49491
47.92267,-117.64359
47.77066,-117.89383
47.83613,-117.84779
48.6511,-119.38252
48.61987,-119.19235
48.71642,-119.07233
48.78979,-119.05597
47.59575,-120.13231
48.35913,-117.23488
48.16469,-118.04455
48.05083,-118.22121
47.78111,-118.32342
46.11187,-117.17728
45.89095,-121.14449
45.89095,-121.14449
45.96449,-121.18787
45.87584,-121.08223
45.9624,-121.041
45.9769,-121.041
45.9769,-121.0202
45.97791,-120.9576
45.9624,-120.7293
46.16889,-121.28444
46.25028,-120.835
47.71355,-120.27961
48.89485,-119.70931
48.81901,-118.66154
48.87538,-118.43979
48.69073,-119.78845
48.27303,-119.88365
47.46685,-120.57993
48.75216,-117.33416
48.46817,-117.32157
47.21166,-120.39698
46.69194,-120.88911
47.75026,-117.20738
48.0635,-117.35956
47.20828,-120.67638
46.79048,-120.94049
46.77592,-120.91937
46.776,-120.96163
45.9791,-121.22951
45.96454,-121.20871
45.89095,-121.14449
45.89095,-121.14449
45.96449,-121.18787
45.87584,-121.08223
45.89095,-121.14449
45.96449,-121.18787
45.87584,-121.08223
46.41669,-121.03344
48.63447,-117.89597
46.53019,-121.15134
48.10248,-117.82291
48.31786,-118.0722
48.99429,-118.78292
47.55368,-117.1035
47.31522,-117.04941
46.03562,-121.03889
45.96355,-120.97841
45.9769,-121.041
47.26686,-117.07809
47.48551,-117.20637
44.5657,-117.27633
44.60867,-117.25617
48.38888,-117.63869
44.75562,-118.46298
44.69871,-118.50436
47.13096,-120.83629
47.31233,-120.25037
47.22774,-120.449
48.14021,-120.1135
46.80654,-121.00907
47.32753,-117.09245
46.3094,-121.3033
45.82747,-117.88064
45.86606,-117.76472
45.94039,-118.02908
45.60068,-118.0478
47.69167,-120.625
48.87599,-119.77349
47.31678,-120.93562
46.08085,-121.41648
46.47149,-120.97473
44.94953,-119.04233
48.53239,-118.68386
48.98848,-117.48471
48.38759,-117.57529
48.66351,-117.48711
48.30234,-117.40311
48.96402,-118.21695
46.15333,-117.42083
46.30152,-117.51663
47.19168,-121.04682
47.77796,-117.95941
48.39213,-117.56948
48.98593,-117.48501
46.42467,-121.28105
44.64568,-119.70765
44.43694,-119.76102
47.1252,-120.9293
48.97393,-119.29618
48.93158,-119.68649
48.90128,-119.49763
48.88448,-119.52665
48.873,-119.31368
48.4889,-119.22079
48.94296,-119.06548
47.55729,-117.08792
47.56429,-117.07824
47.26574,-117.08722
47.2668,-117.08722
47.27768,-117.07315
46.4396,-120.9683
46.3094,-121.2823
46.237,-120.9474
46.09335,-117.87679
47.28955,-120.94946
47.269,-120.64951
47.21882,-121.00848
47.24968,-120.45219
44.4974,-118.84914
45.13263,-119.50393
45.79542,-117.83958
47.91491,-120.26836
47.98253,-120.34264
44.88876,-118.95156
44.8889,-118.89037
44.87395,-118.68661
44.78619,-118.58588
45.33207,-117.4046
47.10897,-120.95277
47.60425,-120.33429
47.73803,-120.48454
47.70838,-120.51131
47.96823,-120.51529
47.63417,-120.44695
47.84175,-120.28794
44.97333,-119.80078
44.9588,-119.722
45.08994,-119.32032
44.98378,-118.37994
45.18967,-118.51588
45.21856,-118.59806
45.34978,-118.46956
47.76622,-120.59735
47.89695,-120.68143
47.83894,-120.96229
47.82475,-120.76899
47.46007,-120.68188
47.67838,-120.75148
45.10088,-116.97274
45.05727,-116.97288
44.98611,-117.03282
44.97175,-117.23583
46.25745,-117.57568
46.16278,-117.41667
46.21414,-117.77105
46.14528,-117.76639
45.0182,-118.7276
45.26431,-118.86768
45.27651,-118.96753
45.42564,-117.78472
45.07183,-117.51011
44.97019,-117.391
45.09772,-117.67239
44.39535,-118.34271
44.60752,-117.88104
44.72398,-118.34509
44.68424,-118.48427
45.94062,-118.01044
45.72529,-117.9838
45.83914,-117.79824
45.62382,-118.02539
45.8386,-117.94214
45.78074,-117.92108
45.56558,-118.12754
45.78089,-117.83957
45.7271,-117.4436
45.79781,-116.94944
45.76967,-116.94936
47.91509,-120.20461
45.16481,-121.49217
45.19388,-121.43041
45.20769,-121.51299
45.28068,-121.38919
45.33842,-121.38949
45.35235,-121.45092
45.0927,-121.51212
45.1502,-121.65491
45.2074,-121.61494
44.1124,-118.82699
44.2123,-119.28679
43.93865,-118.82693
44.06928,-118.72639
44.06934,-118.78682
47.98243,-120.30004
48.08398,-120.49353
48.18576,-120.60692
47.79988,-120.14032
43.39204,-121.57543
43.24725,-121.65684
43.11671,-121.617
43.24734,-121.91395
42.98378,-121.94019
42.79913,-121.92712
47.39719,-120.92508
45.8559,-117.01064
45.44651,-116.70577
45.10088,-116.9523
45.05727,-116.97288
42.39501,-122.14007
42.43824,-122.15906
42.68289,-122.08459
42.72655,-122.10419
42.32263,-122.19835
47.88257,-120.70279
47.83897,-120.85578
47.76639,-120.91923
42.09995,-120.85138
42.20201,-120.79325
42.2444,-120.59998
42.28727,-120.20846
42.33196,-120.46415
42.17315,-120.2451
47.66399,-120.49049
44.72853,-118.74825
44.68424,-118.54531
44.61327,-118.90978
42.77997,-120.94848
42.75122,-120.88966
45.05727,-116.93203
46.11203,-117.34667
44.11292,-118.74684
44.29843,-118.51747
44.31252,-118.4573
44.55547,-118.50334
44.39577,-118.48277
44.28443,-118.53755
48.3603,-118.81198
42.97143,-121.14423
43.36415,-121.38179
44.55752,-121.72616
47.73663,-120.16536
44.27791,-118.12248
45.28636,-116.95014
45.31552,-116.90881
45.31552,-116.90881
45.21468,-116.90913
45.24299,-117.07442
45.82805,-117.05223
45.69961,-117.38514
43.34858,-121.67688
43.11681,-121.63681
42.47986,-121.6923
42.43616,-121.77062
42.40695,-121.49711
42.42136,-121.63393
42.63861,-121.41764
44.6447,-119.46029
48.28882,-118.40467
48.27437,-118.44785
48.2888,-118.42632
45.14964,-118.54247
47.67855,-120.7299
46.65843,-121.25301
47.07703,-121.24812
45.84577,-117.32406
45.81673,-117.30286
45.42165,-118.39763
45.59455,-118.10723
44.9571,-117.07322
42.86739,-120.85003
42.94229,-121.30209
43.08602,-121.28029
42.98396,-120.81031
42.26527,-123.35766
42.38175,-123.5531
42.10411,-123.49453
42.58586,-123.27913
42.60094,-123.59283
42.60036,-123.49465
43.88089,-119.26673
48.1272,-120.15098
44.34666,-117.30305
44.21861,-117.34305
48.91104,-119.07209
48.59004,-119.76521
48.93346,-119.30824
48.55158,-118.79769
48.54393,-118.64387
47.9743,-118.7087
48.0818,-118.7226
48.2704,-118.694
48.4189,-118.7304
48.3799,-118.7506
47.217677,-116.8365
47.116287,-116.726377
47.173763,-116.56596
47.066294,-116.692383
46.959511,-116.788155
46.852131,-116.735861
46.838593,-116.838845
46.818924,-116.947056
47.061195,-116.876099
47.061159,-116.954019
46.798503,-116.749528
46.847098,-116.569757
47.087084,-116.722583
46.813144,-116.927155
46.808794,-116.856238
47.236992,-116.801659
47.244066,-116.836561
47.161315,-116.804857
47.128029,-116.769153
47.147487,-116.617975
47.104003,-116.591436
47.06481,-116.64429
46.944199,-116.64386
46.958266,-116.602009
46.879682,-116.577841
46.870115,-116.585624
46.807336,-116.647516
46.797825,-116.818336
46.813026,-116.899506
47.043351,-116.809222
47.07268,-116.939584
47.102924,-116.97369
47.075023,-116.879328
47.344666,-116.941901
47.309909,-116.764727
47.298077,-116.647251
47.134489,-116.682979
47.028516,-116.377508
47.00771,-116.304542
46.840591,-116.397275
47.03755,-116.926812
46.809126,-116.539699
46.814735,-116.315886
47.07349,-116.89027
47.079327,-116.916968
47.068045,-116.944461
47.050744,-116.889999
47.059572,-116.894963
47.062927,-116.897653
47.030064,-116.838108
46.991708,-116.640117
46.826415,-116.737122
46.884657,-116.761779
46.864795,-116.729559
47.043372,-116.86964
46.860129,-116.693292
46.845964,-116.669962
46.809682,-116.702615
46.808626,-116.68062
46.823666,-116.669874
46.827056,-116.69341
46.82955,-116.681179
46.901379,-116.730243
46.883662,-116.741743
47.027141,-116.889188
46.874529,-116.708943
46.83704,-116.654985
46.96535,-116.846617
46.994232,-116.705583
47.333974,-116.773949
47.318069,-116.667071
46.825674,-116.97932
46.822881,-116.886035
46.80931,-116.754694
46.794019,-116.66406
46.839101,-116.688926
47.115284,-116.969199
46.879117,-116.620175
46.90723,-116.677126
46.891595,-116.793294
46.889346,-116.690876
46.873329,-116.801885
46.876481,-116.908147
46.848616,-116.890626
46.874117,-116.842616
